,Centre_Name,Commodity_Name,Season,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
43,AGARTALA,Urad Dal,Zaid,24.67523775,27.17610525,27.17610525,29.85728988,32.15994171,37.06343403,38.87908741,40.50326848,42.09443825,43.98582889,45.72806829,47.51955553,49.62877863,52.68447837,44.96641438,42.01634724,38.0,70.29032258064517,74.0,75.0,54.5625,65.96551724137932,75.33333333333333,81.89258,85.66157,88.50901,90.98329,93.47194,96.081696,98.77138,101.44828,104.02253
44,AGARTALA,Vanaspati,Kharif,36.6,41.44444444444444,43.0,45.78260869565217,45.0,55.578947368421055,44.85714285714285,35.42857142857143,39.90476190476191,52.36363636363637,51.86363636363637,56.36363636363637,50.03846153846154,55.142857142857146,57.63636363636363,64.22727272727273,55.13636363636363,56.0,55.0,56.0,80.3458673,88.3965232,94.2925713,99.38712,102.9317,106.415344,109.51425,112.355644,115.10397,117.91088,120.88142,124.065025
45,AGARTALA,Vanaspati,Rabi,44.2,41.66666666666666,41.94117647058823,43.94117647058823,42.523809523809526,48.333333333333336,46.45454545454545,37.18181818181818,35.666666666666664,44.34615384615385,51.0,53.27272727272727,50.13636363636363,52.45454545454545,56.0,60.18181818181818,60.95238095238095,56.45,55.5,56.0,80.3458673,88.3965232,94.2925713,96.32187,97.63523,98.65231,99.334595,99.913055,100.64683,101.714676,103.17445,104.9812
46,AGARTALA,Vanaspati,Zaid,35.8559697,42.0,43.0,46.0,45.0,42.66666666666666,49.0,35.22222222222222,34.0,45.27777777777778,53.11111111111112,50.125,49.63636363636363,52.0,56.5,65.11111111111111,55.77777777777778,56.0,55.0,56.0,80.3458673,88.3965232,94.2925713,93.53722,93.3896,94.024895,95.44422,97.4707,99.86812,102.41628,104.94892,107.35808
47,AGARTALA,Wheat,Kharif,5.3,5.721258672,5.764098973,8.1875,9.333333333333334,8.031495327,8.330138324,8.573698959,8.386433409,8.595103503,9.174508427,9.659797768,9.895333745,12.00027952,13.05390295,13.61009665,14.47728162,15.64264099,16.41361897,16.36464088,17.91600884,19.71119293,21.02592949,21.503216,21.181421,20.47795,19.613806,18.791143,18.146852,17.746796,17.599918,17.676453
48,AGARTALA,Wheat,Rabi,5.9,5.721258672,7.5,8.666666666666666,10.071428571428571,8.031495327,8.330138324,8.573698959,8.386433409,8.595103503,9.174508427,9.659797768,9.895333745,12.00027952,13.05390295,13.61009665,14.47728162,15.64264099,16.41361897,16.36464088,17.91600884,19.71119293,21.02592949,20.21504,19.402971,18.66728,18.155788,17.923105,17.952312,18.185204,18.54621,18.959623
49,AGARTALA,Wheat,Zaid,4.970379377,5.721258672,5.764098973,7.018640864,10.071428571428571,8.031495327,8.330138324,8.573698959,8.386433409,8.595103503,9.174508427,9.659797768,9.895333745,12.00027952,13.05390295,13.61009665,14.47728162,15.64264099,16.41361897,16.36464088,17.91600884,19.71119293,21.02592949,19.372892,18.44396,17.84578,17.531973,17.42879,17.471516,17.619764,17.85137,18.151318
50,AGARTALA,gram_dal,Kharif,13.05,17.57894736842105,14.19047619047619,16.130434782608695,20.09090909090909,19.0,19.19047619047619,20.714285714285715,26.65909090909091,23.681818181818183,22.977272727272727,23.0,24.51923076923077,35.57142857142857,33.72727272727273,35.13636363636363,35.04545454545455,35.65217391304348,39.6,51.0,56.61605964,62.28898882,66.44366438,66.671684,66.97317,67.5502,68.63698,70.39246,72.83482,75.83883,79.18698,82.64406
51,AGARTALA,gram_dal,Rabi,17.75,19.666666666666668,15.529411764705882,14.588235294117649,18.428571428571427,23.0,19.954545454545453,19.63636363636364,25.8,26.261904761904763,23.545454545454547,22.863636363636363,24.5,33.0,36.333333333333336,34.40909090909091,35.42857142857143,37.15,39.833333333333336,51.0,56.61605964,62.28898882,66.44366438,65.09244,64.68253,65.19618,66.7803,69.33831,72.6225,76.31267,80.10253,83.77006
52,AGARTALA,gram_dal,Zaid,14.23014286,16.5,15.428571428571429,15.142857142857142,19.3125,20.77777777777778,20.0,18.22222222222222,24.88888888888889,25.22222222222222,25.77777777777778,23.0,22.818181818181817,30.55555555555556,36.5,36.55555555555556,35.0,34.25,39.0,51.0,56.61605964,62.28898882,66.44366438,67.541565,69.35456,71.70019,74.33108,77.061584,79.81029,82.59435,85.4763,88.49403
53,AGARTALA,groundnut_oil,Kharif,34.88755269,39.68159402,44.59230769,44.74207071,35.0,53.62305951,52.0,50.92022927,51.7253496,54.2911396,65.64546958,64.44983745,63.34755043,65.61183528,79.06549202,86.1515635,81.9717608,84.06937233,99.00041186,120.0923754,131.4771326,144.6511413,154.2993724,154.11925,154.84155,155.90907,157.21088,158.71408,160.39604,162.19522,164.02376,165.79019
54,AGARTALA,groundnut_oil,Rabi,34.88755269,39.68159402,44.59230769,44.74207071,38.0,68.5,82.0,50.92022927,51.7253496,54.2911396,65.64546958,64.44983745,63.34755043,65.61183528,79.06549202,86.1515635,81.9717608,84.06937233,99.00041186,120.0923754,131.4771326,144.6511413,154.2993724,153.69762,154.04808,154.83429,155.96704,157.4065,159.11092,160.99634,162.95259,164.86809
55,AGARTALA,gur,Kharif,10.72222222222222,11.357142857142858,10.5,11.72222222222222,15.0,13.71411062,13.13279468,12.86158313,14.22227218,17.136363636363637,14.681818181818182,18.818181818181817,23.5,24.904761904761905,21.181818181818183,22.181818181818183,34.95454545454545,31.65147993,33.7,34.0,38.72014022,42.59989827,45.44131149,44.760433,44.335865,44.220993,44.64918,45.741905,47.518436,49.916164,52.818905,56.084858
56,AGARTALA,gur,Rabi,9.0,10.083333333333334,9.5,10.88888888888889,10.5,13.71411062,13.13279468,12.86158313,17.333333333333332,15.297619047619047,14.454545454545457,17.863636363636363,22.40909090909091,20.863636363636363,21.52380952380953,21.40909090909091,30.857142857142858,39.05882352941177,34.388888888888886,34.0,38.72014022,42.59989827,45.44131149,41.879307,40.150696,39.74129,40.629208,42.578148,45.309734,48.570362,52.14651,55.865124
57,AGARTALA,gur,Zaid,10.35983063,11.33615863,10.78672065,10.0,12.833333333333334,13.71411062,13.13279468,12.86158313,14.22227218,16.86111111111111,14.0,15.875,21.09090909090909,21.33333333333333,20.2,22.11111111111111,25.77777777777778,31.65147993,33.0,34.0,38.72014022,42.59989827,45.44131149,43.60523,44.88019,47.635117,51.288334,55.378468,59.586887,63.694405,67.54545,71.04329
58,AGARTALA,milk,Kharif,7.144199086,7.960110402,8.866240145,9.740980164,10.49222336,12.09199419,12.6843535,13.21424471,13.73336594,14.35043463,14.91884253,16.30684455,16.40814196,17.09056272,18.53747871,20.28731343,21.74693333,25.63636363636364,28.0,29.0,33.73251379,37.11251168,39.5879162,38.032825,36.48248,34.960278,33.79982,33.19816,33.218422,33.821594,34.90912,36.35849
